               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.041303,            0.022572,            0.023828,              0.3033,             0.67635,              0.4369,             0.31287,            0.012714,           0.0063331,           0.0096574,            0.070124,           0.0033196,           0.0033196
                   1,            0.028572,            0.013834,            0.016899,             0.63303,             0.79781,             0.75594,             0.54426,            0.011578,           0.0040841,           0.0067893,            0.039992,           0.0065212,           0.0065212
                   2,            0.026022,            0.012235,            0.012143,             0.84425,             0.92959,             0.92808,             0.68697,            0.010209,           0.0034356,           0.0030723,           0.0097285,           0.0095908,           0.0095908
                   3,            0.023601,            0.011548,            0.011269,             0.76571,             0.87114,              0.9073,             0.69317,            0.012887,           0.0032441,           0.0026373,            0.009406,            0.009406,            0.009406
                   4,            0.020778,            0.011364,            0.010002,              0.9117,             0.91188,             0.93486,             0.74355,           0.0056078,           0.0032225,           0.0018629,            0.009406,            0.009406,            0.009406
                   5,             0.01902,            0.010563,            0.008646,              0.9296,             0.96475,             0.95575,             0.77612,           0.0056171,           0.0028443,           0.0012827,            0.009208,            0.009208,            0.009208
                   6,            0.017511,            0.010705,           0.0080777,              0.9168,             0.95056,             0.96036,             0.81385,           0.0052178,           0.0026695,           0.0016798,             0.00901,             0.00901,             0.00901
                   7,            0.016617,            0.010345,           0.0078816,             0.86476,             0.93326,             0.94899,             0.80325,           0.0042145,           0.0024126,            0.002483,            0.008812,            0.008812,            0.008812
                   8,            0.016156,            0.010012,           0.0077829,             0.93162,             0.95642,             0.94697,             0.79512,           0.0049364,           0.0026448,            0.001484,            0.008614,            0.008614,            0.008614
                   9,            0.014656,           0.0098132,           0.0076384,             0.93757,             0.99166,             0.96151,             0.77943,            0.005458,            0.002969,          0.00070805,            0.008416,            0.008416,            0.008416
                  10,             0.01355,           0.0094508,           0.0062436,             0.91811,             0.96095,             0.95755,             0.83933,           0.0041043,           0.0026307,          0.00089617,            0.008218,            0.008218,            0.008218
                  11,            0.013204,           0.0090742,           0.0053721,             0.94872,             0.98803,             0.97087,             0.86753,           0.0037825,           0.0022285,          0.00073908,             0.00802,             0.00802,             0.00802
                  12,            0.013309,           0.0090708,           0.0060723,             0.95354,             0.98873,             0.97493,             0.82247,           0.0047927,           0.0021747,          0.00050992,            0.007822,            0.007822,            0.007822
                  13,            0.013167,           0.0088283,           0.0056333,             0.93515,             0.99004,              0.9764,             0.87716,           0.0033118,            0.002155,          0.00082218,            0.007624,            0.007624,            0.007624
                  14,            0.012664,           0.0085552,           0.0054853,             0.94489,             0.99708,             0.96698,             0.85185,           0.0039402,           0.0022815,          0.00065056,            0.007426,            0.007426,            0.007426
                  15,            0.012484,             0.00879,           0.0053792,             0.95146,             0.99113,              0.9781,             0.89505,           0.0030197,           0.0021818,          0.00039678,            0.007228,            0.007228,            0.007228
                  16,            0.011541,           0.0085303,           0.0054485,             0.95647,               0.992,             0.97365,             0.87017,           0.0047668,           0.0021587,          0.00045538,             0.00703,             0.00703,             0.00703
                  17,            0.012641,             0.00829,            0.004705,             0.95824,             0.99656,              0.9762,             0.88482,           0.0034771,           0.0020656,           0.0004191,            0.006832,            0.006832,            0.006832
                  18,            0.011848,           0.0082996,           0.0051721,             0.93846,             0.98104,               0.971,             0.87972,           0.0032023,             0.00214,          0.00094253,            0.006634,            0.006634,            0.006634
                  19,            0.011022,           0.0078832,           0.0048689,              0.9597,             0.99557,             0.98222,             0.89495,           0.0040556,           0.0020284,          0.00032729,            0.006436,            0.006436,            0.006436
